DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,시간당백색광량,시간당적색광량,시간당청색광량,시간당총광량,일간누적분무량,일간누적백색광량,일간누적적색광량,일간누적청색광량,일간누적총광량
0,00:00,25.18102088263697,21.296617210566897,31.20041603412573,8.0,25.29928220087864,37.17130309513206,23.58808679666032,30.79711419783056,91.55650408962293,25.29928220087864,37.17130309513206,23.58808679666032,30.79711419783056,91.55650408962293
0,01:00,40.0,64.4973907916414,55.1011163612363,8.0,52.57178189549042,59.98084346914185,81.58716963259727,75.60151351538933,217.16952661712844,77.87106409636905,97.15214656427392,105.17525642925759,106.3986277132199,308.7260307067514
0,02:00,40.0,100.0,301.1199240061337,8.0,506.3894642653858,742.096796356524,501.19586106211256,286.3437460714131,1529.6364034900496,584.2605283617548,839.248942920798,606.3711174913701,392.74237378463295,1838.362434196801
0,03:00,1.981622436050059,1.6214363287162572,1.2404908191786113,2.2912310942889573,2.854483788430896,1.2559510522499484,3.03511390042577,0.3198012025843981,4.6108661552601165,587.1150121501857,840.504893973048,609.4062313917959,393.06217498721736,1842.973300352061
0,04:00,40.0,0.0,0.0,8.0,0.0,758.8008862954296,1779.737899985248,280.8868168595269,2819.425603140204,587.1150121501857,1599.3057802684775,2389.144131377044,673.9489918467443,4662.398903492265
0,05:00,0.0006211007745035,0.0001515614869328,0.0,8.0,3000.0,17007.08683913879,7888.55960828629,0.0,24895.64644742508,3587.115012150186,18606.392619407266,10277.703739663335,673.9489918467443,29558.045350917346
0,06:00,0.0,100.0,0.0,8.0,334.66973645528293,1702.7358034461986,0.0,0.0,1702.7358034461986,3921.784748605469,20309.128422853464,10277.703739663335,673.9489918467443,31260.781154363543
0,07:00,0.0,33.45445131943847,0.0,8.0,0.0,1967.3422708436976,0.0,563.3997672086715,2530.742038052369,3921.784748605469,22276.470693697163,10277.703739663335,1237.348759055416,33791.523192415916
0,08:00,32.95539295068363,15.379701714728538,40.99762868137989,8.0,26.669066121125464,22.02952041498163,30.42249850439502,22.84006286913622,75.29208178851286,3948.4538147265944,22298.500214112144,10308.12623816773,1260.1888219245523,33866.815274204426
0,09:00,40.0,63.62530233364734,58.01875388608019,8.0,44.35389833765316,76.69529809854741,69.6488212064018,69.33582790102508,215.67994720597432,3992.8077130642478,22375.195512210692,10377.775059374131,1329.5246498255774,34082.4952214104
0,10:00,40.0,100.0,497.9912193849766,8.0,514.078481161208,235.9439386012681,469.297713717682,527.5852637300126,1232.8269160489626,4506.886194225455,22611.13945081196,10847.072773091813,1857.10991355559,35315.32213745936
0,11:00,1.1431705404564276,0.0,0.0,0.1587466410721785,3.23834996420378,2.0379659894582733,0.2334579494759978,0.4873699726235052,2.758793911557776,4510.124544189659,22613.177416801416,10847.30623104129,1857.5972835282137,35318.08093137092
0,12:00,40.0,100.0,0.0,8.0,1845.211239608048,153.51412066909862,0.0,672.1641142588376,825.6782349279362,6355.335783797707,22766.691537470513,10847.30623104129,2529.7613977870515,36143.759166298856
