DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case
0,0,25.30000013,81.83500023,536.0166667,1.407439293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167719388078703,1
0,1,25.68035718,81.26428591,528.6964286,1.409002968,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167719388078703,1
0,2,25.27333349,81.47166646,532.8333333,1.406913459,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167719388078703,1
0,3,25.35499996,81.39833361,545.5666667,1.406688704,126.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167719388078703,1
0,4,25.3916666,81.48333346,558.5833333,1.411070349,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167719388078703,1
0,5,25.37499994,81.50666644,571.4833333,1.409658122,119.57,371.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167719388078703,1
0,6,26.43666655,76.56999957,575.0833333,1.404833519,252.00000000000009,623.57,17636.37,17636.37,959.784,959.784,0.0,0.0,18596.154,18596.154,0.167719388078703,1
0,7,26.95999985,75.78333359,574.55,1.40073124,239.14,862.71,18255.19,35891.56,976.332,1936.116,0.0,0.0,19231.522,37827.676,0.167719388078703,1
0,8,27.12833373,75.56833305,570.5,1.398819399,245.57,1108.28,18255.19,54146.75,976.332,2912.448,0.0,0.0,19231.522,57059.198,0.167719388078703,1
0,9,27.36666616,75.5416659,568.1,1.396299801,252.0,1360.28,18255.19,72401.94,976.3320000000004,3888.78,0.0,0.0,19231.522000000004,76290.72,0.167719388078703,1
0,10,27.61333364,75.59999987,563.35,1.395312216,252.0,1612.28,18255.19,90657.13,976.332,4865.112,0.0,0.0,19231.522,95522.242,0.167719388078703,1
0,11,27.74000006,75.61166534,552.7,1.392754634,245.57,1857.85,18255.19,108912.32,976.3320000000004,5841.444,0.0,0.0,19231.52200000001,114753.764,0.167719388078703,1
0,12,27.86666616,75.69166654,540.8333333,1.390184395,126.0,1983.85,18255.189999999988,127167.51,976.3319999999994,6817.776,0.0,0.0,19231.521999999983,133985.286,0.167719388078703,1
0,13,27.98833329,75.41500079,530.5166667,1.389234795,245.57000000000016,2229.42,18255.190000000017,145422.7,976.3320000000004,7794.108,0.0,0.0,19231.522000000023,153216.80800000002,0.167719388078703,1
