,DAT,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,일간누적분무량,시간당백색광량,일간누적백색광량,시간당적색광량,일간누적적색광량,시간당청색광량,일간누적청색광량,시간당총광량,일간누적총광량,predicted_weight_g,Case
0,0,28.0545832575,81.41666682249999,559.774999975,1.4052973152500001,245.57000000000016,3961.27,18255.19,255677.8594,976.3320000000004,13698.4344,0.0,0.0,19231.522,269376.2938,0.167719388078703,1.0
1,1,28.831249522500002,81.33906619,546.666666675,1.3915455302500002,247.17750000000012,3980.56,18255.19,256324.5263,976.3320000000004,13708.3632,0.0,0.0,19231.522,270032.8895,0.181787272321195,1.0
2,2,27.12083324,81.20124985250001,546.404166675,1.3958060137500001,252.0,4093.7,18255.19,255724.2709,976.3320000000004,13675.2672,0.0,0.0,19231.522,269399.5381,0.265921009145362,1.0
3,3,26.58041672,80.9154166225,916.037499975,1.403257162,247.17750000000012,3980.56,18255.19,256324.5263,976.3320000000004,13708.3632,0.0,0.0,19231.522,270032.8895,0.423650022570148,1.0
4,4,27.4304163975,81.31625042,559.000000025,1.40855213175,245.57000000000008,3935.55,18255.19,255829.4703,976.3320000000001,13681.8864,0.0,0.0,19231.522,269511.3567,0.475272432100058,1.0
5,5,27.12083324,81.20124985250001,546.404166675,1.3958060137500001,245.57000000000008,3935.55,18255.19,255829.4703,976.3320000000001,13681.8864,0.0,0.0,19231.522,269511.3567,1.94187905498786,1.0
6,6,27.725000095,81.39416669250001,557.02916665,1.4085201475,252.0,4074.41,18255.19,255467.4606,976.3320000000004,13662.0288,0.0,0.0,19231.522,269129.48939999996,2.33090087317029,1.0
7,7,27.4304163975,81.31625042,559.000000025,1.40855213175,252.0,4048.69,18255.19,256163.6331,976.3320000000001,13696.7796,0.0,0.0,19231.522,269860.4127,3.50324857233179,1.0
8,8,25.801249665,81.45666681750001,585.2458333249999,1.4281805324999999,252.0,4125.85,18255.19,255312.7556,976.3320000000004,13670.3028,0.0,0.0,19231.522,268983.0584,4.45823929008714,1.0
9,9,25.911249662499998,81.1988490125,554.5583333,1.4296265722500001,252.0,4074.41,18255.19,255467.4606,976.3320000000004,13662.0288,0.0,0.0,19231.522,269129.48939999996,5.31563026349437,1.0
10,10,25.7466666575,81.962083025,856.033333325,1.43287380675,252.0,4119.42,18255.19,255572.66,976.3320000000004,13668.648,0.0,0.0,19231.522,269241.308,6.23378221607406,1.0
11,11,25.7804167375,82.10314665749999,656.387500025,1.43384988575,252.0,3948.41,18255.19,255492.2134,976.3320000000004,13660.374,0.0,0.0,19231.522,269152.5874,7.77475053996193,1.0
12,12,25.451666662500003,82.41846047249999,575.6958333,1.44520693325,252.0,3974.13,18255.19,255597.4128,976.3320000000001,13666.9932,0.0,0.0,19231.522,269264.406,9.44717552517705,1.0
13,13,26.361666135,82.332916955,555.65833335,1.44533170575,245.57000000000005,3845.5300000000007,18255.19,255795.43519999998,976.3320000000004,13662.0288,0.0,0.0,19231.522,269457.46400000004,11.2070198973396,1.0
14,14,25.6833334075,82.2675000525,547.774999975,1.44592617925,252.0,4029.4,18255.19,255560.2836,976.3320000000004,13683.5412,0.0,0.0,19231.522,269243.8248,14.3993257739001,1.0
15,15,25.5016666,83.3770829225,618.27916665,1.4539696955,252.0,4029.4000000000005,18255.19,255325.132,976.3320000000004,13662.0288,0.0,0.0,19231.522,268987.1608,17.792803392748,1.0
16,16,25.44874977,83.242076545,649.8083333000001,1.4486269105,252.0,3986.99,18255.19,255439.6137,976.3320000000004,13657.0644,0.0,0.0,19231.522,269096.67809999996,21.6577637240387,1.0
17,17,25.644583722500002,83.84625034000001,588.3333333,1.43816154725,252.0,4012.71,18255.19,255504.5898,976.3320000000004,13678.5768,0.0,0.0,19231.522,269183.1666,26.520552831132,1.0
18,18,25.6475003075,84.13913827249999,699.2791667,1.43391184525,247.17750000000012,3967.7,18255.19,255572.66,976.3320000000004,13635.552,0.0,0.0,19231.522,269208.21200000006,32.5334545268946,1.0
19,19,29.482499935,83.7499999,620.441666675,1.433570503,252.0,3999.85,18255.19,255263.24999999997,976.3320000000004,13652.1,0.0,0.0,19231.522,268915.35,39.5417147187192,1.0
20,20,29.1358336975,82.777499705,557.399999975,1.4338645429999999,252.0,4106.560000000001,18255.19,254953.83999999997,976.3320000000004,13652.1,0.0,0.0,19231.522,268605.94,47.5384800692857,1.0
21,21,28.9533331525,82.8004165025,549.695402275,1.4562484415,252.0,3986.99,18255.19,255572.65999999997,976.3320000000004,13668.648,0.0,0.0,19231.522,269241.308,55.8406479112313,1.0
22,22,28.5379168075,83.56749998999999,571.241666675,1.50500500625,252.0,4035.83,18255.19,255034.2866,976.3320000000004,13655.4096,0.0,0.0,19231.522,268689.6962,65.4975146664984,1.0
23,23,28.637917045,83.8528511075,551.3791666999999,1.5610455115,252.0,3822.41,18255.19,255767.5883,976.3320000000001,13663.6836,0.0,0.0,19231.522,269431.2719,74.6938345249564,1.0
24,24,28.46499987,83.9386294975,572.6916667,1.625746018,252.0,3967.7,18255.19,254953.84,976.3320000000004,13635.552,0.0,0.0,19231.522,268589.392,81.5419579524476,1.0
25,25,28.8654161575,83.14291642250001,597.666666675,1.68266353475,252.0,3935.55,18255.19,255708.8004,976.3320000000004,13671.9576,0.0,0.0,19231.522,269380.75800000003,82.8472745459845,1.0
26,26,28.971249890000003,82.98208329250001,997.9166667,0.973878004,251.99999999999991,4106.56,18255.19,255421.0491,976.3320000000004,13657.0644,0.0,0.0,19231.522,269078.1135,82.4824831050573,1.0
27,27,30.126666819999997,82.9012498825,608.737500025,0.0,252.0,3890.54,18255.19,255263.24999999997,976.3320000000004,13652.1,0.0,0.0,19231.522,268915.35,82.2516268247695,1.0
0,0,27.60124994913735,60.749166727065955,673.2249999999995,2.9725767185290626,123.4,2221.2,0.0,0.0,4881.66,58394.5824,4621.174999999999,55278.652,9502.834999999994,113673.2344,1.05117766026507,2.0
1,1,25.934999891125024,61.28429150263928,627.3624999999997,3.078143304983775,123.4,2221.2,0.0,0.0,4881.659999999998,58316.8068,4621.174999999999,55205.0265,9502.834999999994,113521.8333,1.2204517207189,2.0
2,2,24.600416604677775,53.3907230925603,635.2249999999995,3.1325057043988727,123.4,2221.2,0.0,0.0,4881.66,58402.8564,4621.174999999999,55286.4845,9502.835,113689.3409,1.33302399866082,2.0
3,3,26.222083250681525,60.089166339238396,649.8333333333327,3.165908647576965,123.4,2221.2,0.0,0.0,4881.66,58392.9276,4621.174999999999,55277.0855,9502.835,113670.01310000001,1.45350550780559,2.0
4,4,27.597499918937622,65.62083218892413,690.5375,3.1991911580165153,123.4,2221.2,0.0,0.0,4881.66,58399.5468,4621.174999999999,55283.3515,9502.835,113682.89830000002,1.61264165032769,2.0
5,5,27.3512499650319,66.70208365122473,650.9583333333327,3.2409532864888426,123.4,2221.2,0.0,0.0,4881.66,58401.2016,4621.174999999999,55284.918,9502.834999999994,113686.1196,1.8037850697473,2.0
6,6,27.5287501096725,67.59333400726314,645.05,3.37610198358694,123.4,2221.2,0.0,0.0,4881.66,58397.892,4621.174999999999,55281.785,9502.834999999994,113679.677,2.28657708352283,2.0
