,DAT,obs_time,내부온도관측치,내부습도관측치,co2관측치,ec관측치,시간당분무량,시간당백색광량,시간당적색광량,시간당청색광량
39,0,0,24.283971740755934,69.26688470141129,458.6622313774399,-0.4671058275786106,133.18794353089658,2456.474968938432,0,0
9,0,4,21.228801290109637,76.92504783879318,773.1728297962477,2.2314520411040273,249.7510222087729,1372.4079466229664,0,0
563,0,5,26.81590269932295,83.93864193977461,436.33361951507004,0.884835266172848,156.67073646251382,-305.02299221610906,0,0
183,0,7,21.877496192616704,72.87240516046921,408.78338325668744,2.253516027989844,460.2945243566562,648.8759468613465,0,0
406,0,7,24.959349870086807,70.02338583724338,807.8009214117767,2.429496591972287,114.32558201931417,-24.122275969350383,0,0
114,0,9,22.106663504682075,80.83884861784779,446.64303279935564,2.25793935518798,465.1658582016641,499.57475892720777,0,0
566,0,9,22.205150180587168,80.27420821294938,586.978728512728,0.39609126527864236,553.5432545520775,-789.8031976178825,0,0
187,0,10,25.101251168179672,81.31212017739958,354.22059523762005,2.344745405225225,121.81174017996742,16983.15888165705,0,0
349,0,10,27.073719854061075,81.83760469119672,384.90678782284857,-0.5320649387620318,474.83602898138304,17058.518749341074,0,0
431,0,11,24.716527182816783,81.36565027555994,602.5027918334341,2.2732016496852863,-59.42874212638422,1277.7617022831969,0,0
156,0,12,26.44466905121,75.56443057421593,697.3747518695695,2.5899612960440264,169.84961360968452,498.8816804404198,0,0
587,0,13,24.560883944105882,55.7106758168348,363.9304086278089,-0.010622762611230074,253.97662846067573,-259.27321783740797,0,0
207,0,14,24.816210236934502,81.39912342255305,643.8527137930297,2.4476046169434453,110.80994335013811,18780.067829369134,0,0
498,0,15,27.08654186178231,80.5044036622364,546.2615434187453,1.8187003829868775,169.8094339867731,17454.97641079862,0,0
552,0,15,21.989994890923466,71.65445783219907,354.69009470203713,2.5349739609031974,66.69878310563989,1523.7874857309773,0,0
2,0,18,26.708195633189227,72.99628304040077,324.30675703943444,-0.3412500862222144,415.73351134562273,941.2961495402047,0,0
119,0,18,23.0114685127537,71.13277659780566,375.6779982480878,-0.038007470383039976,-16.46099897601367,17012.508403685537,0,0
313,0,18,24.767610887106773,83.8876648762775,304.96196609523207,-0.5535441810611177,147.5416862343261,1097.1624067146258,0,0
506,0,18,24.225978081499544,64.60886304893877,357.177121531168,2.249425322158774,266.0555255861873,-373.0164879844489,0,0
624,0,18,24.218288956378462,82.43427480692236,316.35398988397174,2.5304675658031917,264.2115917915205,19518.681408163906,0,0
53,0,19,22.456631317912624,43.83721110932404,584.5740165849746,2.328965044770512,477.8885740231105,1693.7762529521651,0,0
643,0,19,22.97514349091862,80.10574767922984,632.0417381643596,2.553207673974994,151.35848113236977,-115.26698582300176,0,0
483,0,21,23.452168903573074,66.7061487882196,402.814354715162,-0.45902676072622234,24.766794400489797,17592.994666174167,0,0
60,0,22,28.37630077300583,60.04452535698263,430.8340994997331,1.755351549888386,130.12376686649338,361.8016602694654,0,0
607,0,22,24.013441692676963,73.01587363560412,585.1774939371251,0.009865526627053534,-4.896401099329099,-1781.9548544022668,0,0
144,1,0,26.904529273145723,78.62478204592931,575.4672359551414,-0.7894693188639086,238.87742889457112,1554.5860220283125,0,0
500,1,1,22.328868366746377,81.4809376258335,413.6250682741877,2.2212903729576867,462.1106803080386,-1227.8856987872875,0,0
93,1,4,22.29244337827047,76.74306145630197,543.7433681443575,2.2681653996723887,254.36512270567803,17679.226437240584,0,0
162,1,4,24.59338222468664,84.62547339444832,133.30346855752168,2.2178965733904015,153.15408759079583,56.94499449021258,0,0
166,1,4,21.459213098083595,54.60529189455309,930.04843514141,2.274454797136675,31.042338205021288,19481.568858981598,0,0
222,1,4,20.741999518000128,64.575333315048,428.55483985714324,2.3275146431992035,127.46070762487234,133.4053155021684,0,0
446,1,5,26.649492582570435,56.03901087436637,585.4196783022072,2.3512654074147386,141.21810228834119,17949.14571783233,0,0
459,1,7,21.146755429475178,70.24750333317974,583.9227617218339,0.07361056372699548,403.9100991148021,-991.9971735565862,0,0
550,1,9,26.32464221293331,79.4993685745746,579.0709596107841,-0.2082249417238382,249.0829535714258,-1849.9489060078301,0,0
457,1,12,25.630396603352935,63.24956942213415,442.957655818667,1.075256243717919,328.4208698802283,135.62434718235625,0,0
623,1,12,23.675286065661492,60.48681000590698,599.6169032814303,2.3261836536656544,114.1625901639512,19163.1251527623,0,0
320,1,13,22.107451540126572,69.28463521406103,1074.1699415565158,2.349438685102106,254.50100664703254,-247.3183466348369,0,0
10,1,15,21.909018117231355,72.47382543429329,472.934033192785,0.5006082320318809,16.832449516222415,16914.530783031143,0,0
237,1,17,25.483439100081004,60.830859676336374,366.03916642855376,0.7288457211195636,142.46322832898605,19106.051927089757,0,0
272,1,17,25.926416864850385,77.30820930414123,401.66093183731533,0.31007138381025356,522.4549807025114,1564.0057449207786,0,0
485,1,18,24.979327352527854,74.71217595278131,522.2226899524597,-0.2630971382009079,250.74773897361385,-334.4213745479725,0,0
31,1,20,21.84693843871439,78.84305847391232,409.0157270492456,2.3204175068302977,141.04418751599422,19518.854136619262,0,0
94,1,20,27.119493631598406,74.35055105669261,393.1093204323364,2.232907370170691,527.3559655478242,645.8354161886281,0,0
574,1,20,26.655493511715044,75.79172789438178,607.6106584726389,-0.7255720170582609,239.38253775987917,515.772588308447,0,0
443,1,22,25.3398937726751,80.02102085155678,343.3391411935329,2.365310569411052,-35.28599626413201,18576.44894269311,0,0
449,1,22,24.45525859287542,84.32150832418283,637.9524210658994,-0.8029774427813192,100.45906049145243,18330.88549515375,0,0
536,2,0,26.4004570702278,82.58149886405982,333.61663520097613,2.45774855825808,246.1215482535258,-928.3576518196028,0,0
333,2,1,26.531539755214578,76.27633768211517,391.8374968084785,2.278453001844078,137.36463899641507,902.2150827786014,0,0
622,2,2,26.34561752419441,80.65580924838925,561.2957307979159,2.4087809308654227,267.87821151199756,19044.191464632917,0,0
160,2,3,21.781132799014575,83.89405504146785,552.894910137704,-0.3554005149193355,26.05019762698907,-1734.4716005814175,0,0
195,2,4,22.63615689857874,80.41870582664016,513.1759781667967,2.365277460551341,79.10164101532202,18856.25047756648,0,0
290,2,4,27.171222452518936,74.30868919505207,398.8395793596274,0.7949264104625604,244.8155131008725,1558.2034106774943,0,0
399,2,4,24.69656430112449,77.38982232970719,486.53719472223406,2.6436285510643014,-7.514796800936795,19022.08654842435,0,0
579,2,4,25.933433084517645,69.94390134691263,502.4305033791587,-0.5160256773366703,249.03615966517006,57.330935013139445,0,0
232,2,6,26.751143583806964,83.70624598314828,433.7454211860482,-0.408652109986363,-44.694845927626545,-1715.8393304888027,0,0
70,2,8,26.083831573518513,81.20882564737661,838.7020144974157,2.388755283701073,120.71315225958428,-651.9261068687279,0,0
302,2,9,23.431741385961196,59.22872464447407,574.5513550205676,0.040237675721606636,375.99213909032255,1724.8764572697773,0,0
140,2,10,20.786737765110644,68.01495705351273,423.6036448935645,0.33365956944096903,-32.902585643634076,17198.10827520315,0,0
21,2,13,22.751416860153014,62.97821358106583,565.9223003478758,2.480281426802347,252.47847594232672,657.0727773319146,0,0
481,2,13,24.407456429721197,81.19146598519254,477.789214432434,2.41908305577525,249.66417172347894,231.45759138696297,0,0
603,2,13,20.860151588306508,82.06194199231301,439.5140070146871,2.340639731741248,413.5705966924369,18843.81536593193,0,0
201,2,14,24.98424083733854,79.13615535845217,516.2584783849852,2.3098688708493276,42.58338181562731,-753.0212252037833,0,0
346,2,15,25.411680470363596,76.23151056758576,566.0289299840194,2.363607620843967,254.240547768088,17255.548981451022,0,0
586,2,17,24.04545129997103,48.72803349375852,523.1263377180841,2.3850486550445176,255.55352667828748,2358.4936001976,0,0
645,2,18,23.139796895489713,73.19306591556087,434.8227949936256,-0.8579631924797606,255.33114745473011,2027.344377842108,0,0
85,2,19,23.691147234099674,82.22682714571006,799.9408561617646,-0.8819379181889513,109.11250605730886,16975.357470402036,0,0
512,2,19,26.860406127377548,80.84891749565038,480.4849891682004,-0.12262672524250884,539.107011897939,365.8568465279744,0,0
